clients,rate_per_client,offered,achieved,samples,rejected,send_failed,p50_us,p90_us,p99_us,p999_us,max_us
1,100,100,100,400,0,0,185.4,204.8,320.2,681.0,1391.3
1,1000,1000,1000,4000,0,0,98.8,112.2,128.5,191.1,306.4
1,5000,5000,5000,20000,0,0,45.4,49.5,69.2,144.0,734.1
10,100,1000,1000,4000,0,0,199.4,290.9,487.2,1412.3,2738.2
10,1000,10000,10000,40000,0,0,110.0,143.4,169.2,211.7,1213.8
10,5000,50000,50000,200000,0,0,88.7,119.9,149.3,3284.5,6088.4
50,100,5000,5000,20000,0,0,630.2,863.8,1663.3,4159.7,4633.8
50,1000,50000,50000,200000,0,0,441.7,550.0,658.3,4453.0,6800.8
50,5000,250000,249959,999836,0,0,764.2,1043.5,5857.0,22048.3,26257.4
100,100,10000,10000,40000,0,0,1010.4,1590.9,2550.7,7591.7,9941.3
100,1000,100000,100000,400000,0,0,689.7,926.8,1372.6,9532.1,13654.2
